   Coeff   Det    RedA RedB RedC X Y UnredA UnredB UnredC
      2    215   14, 3, 16   1, 248    985566, 3971, 16
     17    215   14, 3, 16   1, 271    1176696, 4339, 16
      3    220   2, 0, 110   1, 124    1691362, 13640, 110
    -13    220   4, 2, 56    1, 16    14404, 898, 56
     17    220   8, 2, 28    1, 32    28808, 898, 28
    -13    220   8, 2, 28    1, 47    62048, 1318, 28
    -12    220   10, 0, 22    1, 66    95842, 1452, 22
    -12    220   14, 2, 16    1, 13    2770, 210, 16
      3    220   14, 2, 16    1, 56    50414, 898, 16
     17    220   16, 6, 16    1, 82    108584, 1318, 16
     15    228   2, 0, 114   1, 119    1614356, 13566, 114
      0    228   4, 2, 58   1, 167    1618234, 9688, 58
    -15    228   6, 0, 38    1, 80    243206, 3040, 38
      0    228   12, 6, 22    1, 12    3324, 270, 22
     -4    236   2, 0, 118    1, 13    19944, 1534, 118
     -2    236   4, 2, 60    1, 44    116340, 2642, 60
     11    236   6, 2, 40    1, 17    11634, 682, 40
     -4    236   6, 2, 40    1, 66    174510, 2642, 40
     -4    236   8, 2, 30    1, 88    232680, 2642, 30
     11    236   8, 2, 30   1, 115    397218, 3452, 30
     -4    236   10, 2, 24   1, 110    290850, 2642, 24
     -4    236   10, 2, 24   1, 213    1089718, 5114, 24
     -2    236   12, 2, 20    1, 34    23268, 682, 20
     -2    236   12, 2, 20   1, 132    349020, 2642, 20
     -4    236   14, 4, 18    1, 85    130744, 1534, 18
     11    236   14, 4, 18   1, 130    305254, 2344, 18
      9    243   2, 1, 122    1, 60    439322, 7321, 122
     -6    243   6, 3, 42   1, 129    699702, 5421, 42
     -6    243   14, 3, 18    1, 24    10526, 435, 18
      9    243   14, 3, 18    1, 68    83654, 1227, 18
     -3    243   18, 9, 18   1, 116    244314, 2097, 18
      0    247   2, 1, 124   1, 155    2979412, 19221, 124
     15    247   4, 1, 62    1, 33    67588, 2047, 62
    -15    247   4, 1, 62   1, 101    632668, 6263, 62
    -15    247   8, 3, 32   1, 161    830446, 5155, 32
      0    247   8, 3, 32   1, 237    1798838, 7587, 32
     15    247   16, 3, 16    1, 45    32686, 723, 16
    -14    248   2, 0, 124    1, 90    1004402, 11160, 124
     16    248   4, 0, 62    1, 97    583362, 6014, 62
     16    248   6, 2, 42    1, 64    172294, 2690, 42
      1    248   6, 2, 42    1, 81    275892, 3404, 42
    -14    248   12, 4, 22    1, 79    137946, 1742, 22
      1    248   12, 4, 22   1, 248    1355084, 5460, 22
      1    248   14, 2, 18    1, 57    58724, 1028, 18
      1    248   14, 2, 18   1, 189    643748, 3404, 18
      6    252   2, 0, 126    1, 55    381152, 6930, 126
    -16    252   4, 2, 64    1, 39    97504, 2498, 64
      9    252   6, 0, 42   1, 112    526854, 4704, 42
     -1    252   8, 2, 32    1, 78    195008, 2498, 32
     -1    252   8, 2, 32    1, 95    289188, 3042, 32
     -4    252   12, 6, 24   1, 150    541812, 3606, 24
     -9    252   14, 0, 18   1, 108    209966, 1944, 18
     14    252   16, 2, 16   1, 156    390016, 2498, 16
      6    252   16, 6, 18   1, 200    722416, 3606, 18
      6    252   16, 6, 18   1, 261    1229326, 4704, 18
     -2    255   2, 1, 128    1, 11    15512, 1409, 128
     13    255   4, 1, 64    1, 22    31024, 1409, 64
    -17    255   4, 1, 64   1, 229    3356686, 14657, 64
     -2    255   6, 3, 44   1, 119    623804, 5239, 44
     -2    255   8, 1, 32    1, 44    62048, 1409, 32
     13    255   8, 1, 32   1, 181    1048722, 5793, 32
     -2    255   10, 5, 28    1, 88    217722, 2469, 28
     13    255   12, 3, 22   1, 215    1018252, 4733, 22
    -17    255   12, 3, 22   1, 238    1247608, 5239, 22
     13    255   14, 5, 20   1, 181    657044, 3625, 20
     -2    255   14, 5, 20   1, 234    1097474, 4685, 20
     -2    255   16, 1, 16    1, 85    115786, 1361, 16
      0    256   2, 0, 128   1, 131    2196610, 16768, 128
     -2    256   4, 0, 64    1, 15    14404, 960, 64
      8    256   8, 0, 32    1, 30    28808, 960, 32
      0    256   8, 4, 34    1, 77    202210, 2622, 34
      0    256   10, 2, 26   1, 186    900250, 4838, 26
      0    256   10, 2, 26   1, 240    1498570, 6242, 26
     -8    256   16, 0, 16    1, 60    57616, 960, 16
     -2    256   16, 8, 20     1, 7    1108, 148, 20
    -10    264   2, 0, 132    1, 16    33794, 2112, 132
      5    264   4, 0, 66    1, 32    67588, 2112, 66
      5    264   6, 0, 44    1, 48    101382, 2112, 44
      5    264   10, 4, 28   1, 194    1055370, 5436, 28
      5    264   10, 4, 28   1, 241    1628206, 6752, 28
      5    264   12, 0, 22    1, 96    202764, 2112, 22
    -10    264   14, 4, 20     1, 5    554, 104, 20
      5    264   14, 4, 20    1, 50    50414, 1004, 20
     -1    267   2, 1, 134    1, 99    1313534, 13267, 134
     -1    267   6, 3, 46   1, 121    674218, 5569, 46
    -28    268   2, 0, 134    1, 93    1158968, 12462, 134
     16    268   4, 2, 68     1, 4    1108, 274, 68
      2    268   8, 2, 34     1, 8    2216, 274, 34
      2    268   8, 2, 34   1, 220    1646488, 7482, 34
